post_id,title,score,num_comments,author,category
47645810,AGI Is Here?,9,31,oakhan3,general
47592462,I traced my traffic through a home Tailscale exit node,154,72,stonecharioteer,technology
47601555,Apple removes iPhone vibe coding app from app store,68,58,randycupertino,general
47618581,Amazon is adding a fuel surcharge to fees it collects from third-party sellers,166,105,lehi,general
47639224,Intelligence Cannot Be Trained?,7,6,hyperzzw,technology
47635522,"Japan to require language proficiency proof for engineer, specialist visa",30,15,totetsu,general
47608058,A new C++ back end for ocamlc,236,20,glittershark,general
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,36,6,j0rg3,technology
47618100,Yggdrasil Network,122,60,Velocifyer,general
47601859,Ask HN: Who is hiring? (April 2026),276,348,whoishiring,general
47626242,Second Revision of 6502 Laptop,11,0,uticus,general
47634328,Show HN: DotReader – connects ideas across your books automatically,5,2,efecerre,general
47593422,"Show HN: 1-Bit Bonsai, the First Commercially Viable 1-Bit LLMs",425,151,PrismML,technology
47601858,Ask HN: Who wants to be hired? (April 2026),86,337,whoishiring,general
47599305,The Document Foundation ejects its core developers,116,170,hackernewsblues,general
47605374,Scientists crack a 20-year nuclear mystery behind the creation of gold,86,39,prabal97,general
47629608,Tech Companies Are Trying to Neuter Colorado's Landmark Right-to-Repair Law,50,10,liz_ifixit,technology
47620939,rpg: A modern psql-compatible Postgres terminal and TUI written in Rust,21,3,tanelpoder,general
47600382,Is BGP safe yet?,254,89,janandonly,general
47643217,Microsoft to force updates to Windows 11 25H2 for PCs with older OS versions,45,41,cratermoon,general
47631011,PIGuard: Prompt Injection Guardrail via Mitigating Overdefense for Free,15,5,mettamage,technology
47638246,"Jack Dorsey says Block employees now bring prototypes, not slides, to meetings",73,87,taubek,general
47613447,CC leak: skills are better than I thought,47,14,KaseKun,general
47634240,OpenAI Cap Table leak reveals Microsoft's 18x return,30,4,diehunde,technology
47633734,ENiGMA½ BBS Software,10,1,NuSkooler,general
47633715,Kids groups say they didn't know OpenAI was behind their child safety coalition,35,8,heavyset_go,technology
47627061,Solar and batteries can power the world,288,447,edent,worldnews
47633514,"Writing an LLM from scratch, part 32h – Interventions: full fat float32",7,0,gpjt,general
47609090,The Weather Channel – RetroCast,317,61,typeofhuman,general
47618221,The Australian government has announced gambling advertising reforms,133,101,gostsamo,general
47611809,New laws to make it easier to cancel subscriptions and get refunds,157,66,chrisjj,general
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,21,4,symisc_devel,general
47632901,Sandbox Strategy Game for AI,6,0,Stefan_Golas,technology
47642630,Xogot: Godot for iPad and iPhone,7,1,HelloUsername,general
